timestamp_ns,latency_us,ok,burst
1771606174225406856,1175,true,false
1771606174226585275,1134,true,false
1771606174227720664,1512,true,false
1771606174229100135,1156,true,false
1771606174230254972,1483,true,false
1771606174231562525,1565,true,false
1771606174232950083,1149,true,false
1771606174234107899,1241,true,false
1771606174235363122,1698,true,false
1771606174236806100,1403,true,false
1771606174238211583,1585,true,false
1771606174239507889,1399,true,false
1771606174240907189,1580,true,false
1771606174242325846,1280,true,false
1771606174243606281,1127,true,false
1771606174244736929,1653,true,false
1771606174246229499,1658,true,false
1771606174247772892,1308,true,false
1771606174249079015,1206,true,false
1771606174250283368,1456,true,false
1771606174251560232,1403,true,false
1771606174252967317,1083,true,false
1771606174254054628,1626,true,false
1771606174255292968,1199,true,false
1771606174256493207,1159,true,false
1771606174257654806,1414,true,false
1771606174258948000,1402,true,false
1771606174260351882,1327,true,false
1771606174261598425,1326,true,false
1771606174262908506,1529,true,false
1771606174264320755,1224,true,false
1771606174265565414,1147,true,false
1771606174266710277,1501,true,false
1771606174268091405,1334,true,false
1771606174269436879,1334,true,false
1771606174270772121,1349,true,false
1771606174272122657,1347,true,false
1771606174273467697,1354,true,false
1771606174274809868,1283,true,false
1771606174276090445,1012,true,false
1771606174277102531,1203,true,false
1771606174278299324,1654,true,false
1771606174279797371,1686,true,false
1771606174281250048,1496,true,false
1771606174282725217,1155,true,false
1771606174283876719,1492,true,false
1771606174285324480,1513,true,false
1771606174286740374,1535,true,false
1771606174288077422,1468,true,false
1771606174289567845,1517,true,false
1771606174290937890,1535,true,false
1771606174292303590,1408,true,false
1771606174293706876,1233,true,false
1771606174294928944,1171,true,false
1771606174296109117,1645,true,false
1771606174297530890,1225,true,false
1771606174298755352,1500,true,false
1771606174300251465,1294,true,false
1771606174301551076,1230,true,false
1771606174302787603,1313,true,false
1771606174304100945,1338,true,false
1771606174305427635,1128,true,false
1771606174306555504,1527,true,false
1771606174307894445,1366,true,false
1771606174309272382,1614,true,false
1771606174310841632,1553,true,false
1771606174312332393,1607,true,false
1771606174313684464,1210,true,false
1771606174314902988,1524,true,false
1771606174316326027,1103,true,false
1771606174317433890,1490,true,false
1771606174318752344,1485,true,false
1771606174320117932,1554,true,false
1771606174321502755,1609,true,false
1771606174323023159,1605,true,false
1771606174324490702,1510,true,false
1771606174325954352,1512,true,false
1771606174327220855,1334,true,false
1771606174328550427,1598,true,false
1771606174330039162,1575,true,false
1771606174331574843,1713,true,false
1771606174333011100,1280,true,false
1771606174334285025,1692,true,false
1771606174335906294,1250,true,false
1771606174337152799,1464,true,false
1771606174338421764,1332,true,false
1771606174339743783,1690,true,false
1771606174341244429,1493,true,false
1771606174342726860,1372,true,false
1771606174344015852,1305,true,false
1771606174345314360,1325,true,false
1771606174346645464,1491,true,false
1771606174348122665,1742,true,false
1771606174349555437,1558,true,false
1771606174351113461,1337,true,false
1771606174352452252,1440,true,false
1771606174353888055,1726,true,false
1771606174355399769,1588,true,false
1771606174356989462,1310,true,false
1771606174358301118,1390,true,false
1771606174359630213,1573,true,false
1771606174361117304,1633,true,false
1771606174362645525,1536,true,false
1771606174364051991,1521,true,false
1771606174365577857,1340,true,false
1771606174366827390,1334,true,false
1771606174368154241,1282,true,false
1771606174369427402,1501,true,false
1771606174370890599,1489,true,false
1771606174372348135,1342,true,false
1771606174373685157,1214,true,false
1771606174374893941,1557,true,false
1771606174376368784,1363,true,false
1771606174377729498,1366,true,false
1771606174379078352,1418,true,false
1771606174380491496,1503,true,false
1771606174381918578,1638,true,false
1771606174383480256,1485,true,false
1771606174384968196,1474,true,false
1771606174386443635,1405,true,false
1771606174387715118,1487,true,false
1771606174389100548,1246,true,false
1771606174390343925,1601,true,false
1771606174391778400,1312,true,false
1771606174393081058,1429,true,false
1771606174394430155,1220,true,false
1771606174395642937,1261,true,false
1771606174396906574,1626,true,false
1771606174398403140,1322,true,false
1771606174399713196,1282,true,false
1771606174400983453,1330,true,false
1771606174402217672,1561,true,false
1771606174403694222,1596,true,false
1771606174405207448,1312,true,false
1771606174406545012,1018,true,false
1771606174407561337,1188,true,false
1771606174408742646,1105,true,false
1771606174409848588,1640,true,false
1771606174411352068,1120,true,false
1771606174412469950,1256,true,false
1771606174413720572,1177,true,false
1771606174414906343,1095,true,false
1771606174415990863,1224,true,false
1771606174417212370,1051,true,false
1771606174418264621,1397,true,false
1771606174419664869,1483,true,false
1771606174421152247,1700,true,false
1771606174422638255,1394,true,false
1771606174424038067,1064,true,false
1771606174425100226,3211,true,false
1771606174427444910,1996,true,false
1771606174426352587,3341,true,false
1771606174428437297,1513,true,false
1771606174429454223,1476,true,false
1771606174430729283,1358,true,false
1771606174432078496,1153,true,false
1771606174433222349,1609,true,false
1771606174434659107,1379,true,false
1771606174436028447,1652,true,false
1771606174437518962,1225,true,false
1771606174438741992,1256,true,false
1771606174439989399,1179,true,false
1771606174441173161,1107,true,false
1771606174442288275,1015,true,false
1771606174443307594,1268,true,false
1771606174444581806,1132,true,false
1771606174445725081,1471,true,false
1771606174447171029,1741,true,false
1771606174448741786,1229,true,false
1771606174449974274,1161,true,false
1771606174451145042,1323,true,false
1771606174452390893,1144,true,false
1771606174453536458,1258,true,false
1771606174454797146,1481,true,false
1771606174456210114,1654,true,false
1771606174457695180,1425,true,false
1771606174459112549,1379,true,false
1771606174460488012,1441,true,false
1771606174461922406,1733,true,false
1771606174463439664,1492,true,false
1771606174464924445,1542,true,false
1771606174466418592,1507,true,false
1771606174467935494,1141,true,false
1771606174469086337,1517,true,false
1771606174470486814,1569,true,false
1771606174471990514,1111,true,false
1771606174473098490,1019,true,false
1771606174474113801,1120,true,false
1771606174475241742,1230,true,false
1771606174476476257,1581,true,false
1771606174477926088,1292,true,false
1771606174479219931,1501,true,false
1771606174480634064,1196,true,false
1771606174481845207,1128,true,false
1771606174482970711,1336,true,false
1771606174484297391,1172,true,false
1771606174485467763,1327,true,false
1771606174486773625,1254,true,false
1771606174488021587,1685,true,false
1771606174489524975,1200,true,false
1771606174490723746,1515,true,false
1771606174492192040,1248,true,false
1771606174493447298,1513,true,false
1771606174494954431,1566,true,false
1771606174496366382,1378,true,false
1771606174497775348,1541,true,false
1771606174499243378,1253,true,false
1771606174500501609,1415,true,false
1771606174501838370,1436,true,false
1771606174503245481,1156,true,false
1771606174504401078,1081,true,false
1771606174505488353,1578,true,false
1771606174506956501,1328,true,false
1771606174508271582,1483,true,false
1771606174509756101,1150,true,false
1771606174510903482,1146,true,false
1771606174512052699,1059,true,false
1771606174513107996,1447,true,false
1771606174514554410,1432,true,false
1771606174515982499,1627,true,false
1771606174517415384,1496,true,false
1771606174518826586,1606,true,false
1771606174520442541,1348,true,false
1771606174521711764,1360,true,false
1771606174523070287,1266,true,false
1771606174524336577,1557,true,false
1771606174525642222,1096,true,false
1771606174526735973,1596,true,false
1771606174528262020,1515,true,false
1771606174529689593,1423,true,false
1771606174531113102,1224,true,false
1771606174532330671,1635,true,false
1771606174533778326,1339,true,false
1771606174535125428,1327,true,false
1771606174536448658,1247,true,false
1771606174537693401,2829,true,false
1771606174539420698,1697,true,false
1771606174540507944,1248,true,false
1771606174541758619,1428,true,false
1771606174543019774,1375,true,false
1771606174544402601,1229,true,false
1771606174545617351,1062,true,false
1771606174546685993,1117,true,false
1771606174547800905,1617,true,false
1771606174549125922,1745,true,false
1771606174550845580,1252,true,false
1771606174552099578,1260,true,false
1771606174553354710,1414,true,false
1771606174554634068,1460,true,false
1771606174555980476,1623,true,false
1771606174557467025,1623,true,false
1771606174558957282,1319,true,false
1771606174560280014,1642,true,false
1771606174561709457,1447,true,false
1771606174563149462,1437,true,false
1771606174564585742,1538,true,false
1771606174566119167,1364,true,false
1771606174567449374,1553,true,false
1771606174568908689,1355,true,false
1771606174570271675,1652,true,false
1771606174571748729,1514,true,false
1771606174573152143,1303,true,false
1771606174574454131,1168,true,false
1771606174575617453,1215,true,false
1771606174576843251,1194,true,false
1771606174578041262,1202,true,false
1771606174579240187,1484,true,false
1771606174580729457,1411,true,false
1771606174582122965,1285,true,false
1771606174583404217,1123,true,false
1771606174584533043,1610,true,false
1771606174585954084,1338,true,false
1771606174587290027,1412,true,false
1771606174588679841,1466,true,false
1771606174590187590,1578,true,false
